unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_GE15,F,FRY5	: 	: 	: 	: 	: 	: 	: 	: 	28.9 	30.6 	32.6 	29.5 
PC,Y_GE15,F,HR03	: 	9.8 	11.4 	12.0 	12.4 	13.3 	14.0 	13.9 	17.7 	17.0 	14.1 	11.8 
PC,Y_GE15,F,HR04	: 	12.0 	9.9 	10.1 	12.3 	13.9 	16.9 	18.1 	18.6 	16.9 	13.6 	11.9 
PC,Y_GE15,F,HU10	5.5 	5.2 	5.2 	5.9 	8.3 	8.6 	8.2 	: 	: 	: 	: 	: 
PC,Y_GE15,F,HU11	: 	: 	: 	: 	: 	: 	: 	8.2 	7.0 	5.5 	3.7 	3.1 
PC,Y_GE15,F,HU12	: 	: 	: 	: 	: 	: 	: 	7.9 	6.2 	5.2 	3.5 	2.9 
PC,Y_GE15,F,HU21	6.4 	5.5 	6.1 	9.6 	10.9 	10.3 	10.3 	9.3 	5.7 	5.0 	3.2 	2.5 
PC,Y_GE15,F,HU22	6.5 	6.3 	6.2 	9.2 	8.6 	7.8 	7.2 	7.9 	5.1 	4.2 	3.1 	3.1 
PC,Y_GE15,F,HU23	9.5 	10.2 	9.4 	11.0 	11.3 	13.4 	12.5 	9.0 	7.1 	8.5 	5.8 	6.5 
PC,Y_GE15,F,HU31	11.1 	12.0 	12.3 	13.9 	14.5 	16.2 	15.3 	12.6 	10.3 	8.8 	6.5 	6.3 
PC,Y_GE15,F,HU32	11.6 	10.9 	12.4 	13.9 	14.0 	14.4 	14.4 	15.1 	12.3 	11.0 	9.0 	8.0 
PC,Y_GE15,F,HU33	8.7 	8.4 	8.8 	10.9 	10.7 	10.2 	10.3 	11.0 	8.7 	8.3 	6.0 	4.7 
PC,Y_GE15,F,IE01	5.2 	5.5 b	6.6 	10.0 	11.3 	13.1 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,IE02	3.9 	4.7 b	5.4 	9.3 	11.4 	12.3 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,IE04	: 	: 	: 	: 	: 	: 	13.2 	12.6 	10.6 	8.7 	7.5 	5.5 b
PC,Y_GE15,F,IE05	: 	: 	: 	: 	: 	: 	13.8 	12.9 	11.6 	9.5 	7.9 	6.5 b
PC,Y_GE15,F,IE06	: 	: 	: 	: 	: 	: 	11.9 	12.0 	10.5 	8.6 	7.5 	6.4 b
PC,Y_GE15,F,IS00	3.1 	2.3 	2.6 	5.7 	6.7 	6.2 	5.7 	5.1 	4.8 	4.1 	3.0 	2.7 
PC,Y_GE15,F,ITC1	5.1 	5.2 	6.4 	7.8 	8.3 	8.5 	10.5 	11.0 	12.1 	10.5 	10.0 	10.2 
PC,Y_GE15,F,ITC2	: u	: u	: u	: u	: u	: u	6.9 u	8.1 u	8.4 u	8.1 u	8.5 u	7.7 u
PC,Y_GE15,F,ITC3	6.7 	5.6 	7.1 	7.1 	7.5 	7.2 	10.2 	10.9 	11.7 	9.5 	11.5 	11.6 
PC,Y_GE15,F,ITC4	4.9 	4.5 	4.8 	6.3 	6.5 	6.6 	8.4 	8.7 	8.8 	8.7 	8.6 	7.7 
PC,Y_GE15,F,ITF1	9.5 	9.7 	8.8 	10.2 	11.3 	10.5 	13.0 	11.6 	14.8 	15.5 	15.2 	15.3 
PC,Y_GE15,F,ITF2	14.3 	10.8 	12.5 	11.0 	9.5 	11.6 	14.4 	15.5 	15.3 	14.7 	14.0 	14.3 
PC,Y_GE15,F,ITF3	17.8 	14.5 	16.7 	16.0 	17.2 	18.9 	22.3 	23.7 	25.3 	23.0 	23.6 	24.0 
PC,Y_GE15,F,ITF4	17.4 	15.5 	16.0 	16.2 	16.3 	16.9 	18.7 	23.2 	25.4 	21.8 	22.7 	22.2 
PC,Y_GE15,F,ITF5	15.2 	15.0 	15.0 	13.9 	15.6 	13.1 	14.4 	14.7 	16.1 	15.8 	15.3 	14.9 
PC,Y_GE15,F,ITF6	15.8 	14.4 	15.6 	13.7 	13.8 	13.4 	21.3 	23.7 	26.5 	23.7 	26.3 	24.2 
